dropout_p,sequence_id,true_class,snr_quality,obs_ratio,gap_length,est_range,est_velocity,kin_residual,energy_residual,r_uncertainty,v_uncertainty,oracle_step,oracle_objective,oracle_pred,oracle_correct,oracle_latency_ms,J_5steps,f1_pred_5steps,miss_mse_5steps,kin_res_5steps,J_10steps,f1_pred_10steps,miss_mse_10steps,kin_res_10steps,J_20steps,f1_pred_20steps,miss_mse_20steps,kin_res_20steps,J_50steps,f1_pred_50steps,miss_mse_50steps,kin_res_50steps
0.100000,10,Cyclist,0.000000,0.812500,0.062500,0.499295,0.005747,0.018144,0.010593,0.000274,0.006742,10,1.312981,Pedestrian,0,41.145840,1.330975,Pedestrian,1.115710,0.150958,1.312981,Pedestrian,1.119932,0.151942,1.332699,Pedestrian,1.121194,0.151872,1.392445,Pedestrian,1.121992,0.151856
0.100000,11,Empty,0.000000,0.937500,0.062500,0.499312,0.006022,0.022656,0.016160,0.000305,0.006564,5,0.047729,Empty,1,59.420970,0.047729,Empty,1.129286,0.188502,0.057703,Empty,1.135039,0.188627,0.077704,Empty,1.135626,0.188621,0.137704,Empty,1.135919,0.188620
0.100000,12,Vehicle,0.000000,1.000000,0.000000,0.499780,0.002551,0.005380,0.004277,0.000100,0.001815,5,0.022165,Vehicle,1,59.420970,0.022165,Vehicle,0.000000,0.044765,0.032165,Vehicle,0.000000,0.044765,0.052165,Vehicle,0.000000,0.044765,0.112165,Vehicle,0.000000,0.044765
0.100000,13,Pedestrian,0.000000,0.875000,0.062500,0.499601,0.001565,0.005564,0.003680,0.000125,0.002142,5,1.140531,Pedestrian,1,59.420970,1.140531,Pedestrian,1.089135,0.046296,1.151341,Pedestrian,1.062255,0.043873,1.167882,Pedestrian,1.060931,0.044131,1.228487,Pedestrian,1.061692,0.044151
0.100000,14,Vehicle,0.000000,0.875000,0.062500,0.499739,0.002499,0.009062,0.004960,0.000154,0.002741,5,0.014545,Vehicle,1,59.420970,0.014545,Vehicle,1.075234,0.075392,0.024496,Vehicle,1.074354,0.074425,0.044510,Vehicle,1.078165,0.074726,0.104509,Vehicle,1.080264,0.074706
0.100000,15,Empty,0.000000,0.812500,0.062500,0.499247,0.004454,0.019678,0.014859,0.000308,0.004309,5,0.020122,Empty,1,59.420970,0.020122,Empty,1.163308,0.163722,0.030090,Empty,1.166831,0.163667,0.050092,Empty,1.167974,0.163702,0.110092,Empty,1.168721,0.163702
0.100000,16,Vehicle,0.000000,0.875000,0.062500,0.499716,0.002542,0.010781,0.003714,0.000171,0.002847,5,0.014496,Vehicle,1,59.420970,0.014496,Vehicle,1.098647,0.089695,0.024388,Vehicle,1.099857,0.088086,0.044385,Vehicle,1.102905,0.088053,0.104385,Vehicle,1.104752,0.088050
0.100000,17,Vehicle,0.000000,0.937500,0.062500,0.499676,0.002929,0.007615,0.007059,0.000159,0.002617,5,0.012630,Vehicle,1,59.420970,0.012630,Vehicle,1.108478,0.063359,0.022584,Vehicle,1.112423,0.061952,0.042589,Vehicle,1.113399,0.062129,0.102589,Vehicle,1.114844,0.062117
0.100000,18,Empty,0.000000,0.875000,0.062500,0.499377,0.001510,0.002874,0.003011,0.000049,0.002106,5,0.011453,Empty,1,59.420970,0.011453,Empty,1.012083,0.023910,0.021461,Empty,0.992809,0.023941,0.041449,Empty,0.991535,0.023745,0.101449,Empty,0.992045,0.023744
0.100000,19,Cyclist,0.000000,0.875000,0.062500,0.499578,0.002424,0.004392,0.003532,0.000092,0.002901,5,0.012379,Cyclist,1,59.420970,0.012379,Cyclist,1.113098,0.036545,0.022329,Cyclist,1.101617,0.036152,0.042329,Cyclist,1.103571,0.036167,0.102330,Cyclist,1.104943,0.036218
0.100000,20,Vehicle,0.000000,0.875000,0.062500,0.499732,0.001994,0.007988,0.004992,0.000137,0.002537,5,0.026045,Vehicle,1,59.420970,0.026045,Vehicle,1.092096,0.066460,0.035976,Vehicle,1.080228,0.064973,0.055990,Vehicle,1.082099,0.065317,0.115992,Vehicle,1.083374,0.065373
0.100000,21,Empty,0.000000,0.937500,0.062500,0.499380,0.001155,0.001906,0.002378,0.000051,0.001842,5,0.011346,Empty,1,59.420970,0.011346,Empty,1.011098,0.015860,0.021363,Empty,0.995127,0.017983,0.041354,Empty,0.994634,0.017559,0.101355,Empty,0.995183,0.017583
0.100000,22,Cyclist,0.000000,0.875000,0.062500,0.499660,0.001822,0.008924,0.005817,0.000152,0.002500,5,0.397214,Cyclist,1,59.420970,0.397214,Cyclist,1.112270,0.074245,0.407133,Cyclist,1.103117,0.071548,0.427130,Cyclist,1.104028,0.071671,0.487131,Cyclist,1.104828,0.071703
0.100000,23,Empty,0.000000,0.937500,0.062500,0.499371,0.001158,0.003287,0.002508,0.000050,0.001807,5,0.011427,Empty,1,59.420970,0.011427,Empty,1.017231,0.027350,0.021432,Empty,1.003763,0.027373,0.041427,Empty,1.004645,0.027263,0.101427,Empty,1.005097,0.027293
0.100000,24,Empty,0.000000,0.937500,0.062500,0.499384,0.001204,0.003447,0.002676,0.000048,0.001890,5,0.011424,Empty,1,59.420970,0.011424,Empty,1.017492,0.028679,0.021422,Empty,0.998934,0.028676,0.041417,Empty,0.998955,0.028567,0.101417,Empty,0.999529,0.028568
0.100000,25,Cyclist,0.000000,0.875000,0.062500,0.499443,0.004380,0.010014,0.017717,0.000186,0.004888,10,1.324286,Pedestrian,0,41.145840,1.325327,Pedestrian,1.195235,0.083318,1.324286,Pedestrian,1.194851,0.084641,1.343343,Pedestrian,1.195874,0.084617,1.402843,Pedestrian,1.196400,0.084631
0.100000,26,Pedestrian,0.000000,0.875000,0.062500,0.499634,0.001855,0.006537,0.003922,0.000114,0.002324,5,1.162630,Pedestrian,1,59.420970,1.162630,Pedestrian,1.089059,0.054386,1.178903,Pedestrian,1.063158,0.053834,1.192959,Pedestrian,1.061669,0.054193,1.253089,Pedestrian,1.062397,0.054203
0.100000,27,Cyclist,0.000000,0.812500,0.093750,0.499605,0.001896,0.005322,0.003325,0.000128,0.002381,5,0.012497,Cyclist,1,59.420970,0.012497,Cyclist,1.082058,0.044281,0.022406,Cyclist,1.063223,0.041326,0.042407,Cyclist,1.063914,0.041023,0.102407,Cyclist,1.064834,0.041019
0.100000,28,Cyclist,0.000000,1.000000,0.000000,0.499718,0.002887,0.007848,0.005043,0.000128,0.003757,5,0.097766,Cyclist,1,59.420970,0.097766,Cyclist,0.000000,0.065297,0.107766,Cyclist,0.000000,0.065297,0.127766,Cyclist,0.000000,0.065297,0.187766,Cyclist,0.000000,0.065297
0.100000,29,Vehicle,0.000000,0.750000,0.062500,0.499649,0.002516,0.011497,0.004675,0.000198,0.003147,5,0.277688,Vehicle,1,59.420970,0.277688,Vehicle,1.095801,0.095653,0.287562,Vehicle,1.094108,0.092602,0.307561,Vehicle,1.097690,0.092743,0.367561,Vehicle,1.099680,0.092756
0.100000,30,Empty,0.000000,1.000000,0.000000,0.499364,0.001287,0.003541,0.002473,0.000048,0.001590,5,0.011444,Empty,1,59.420970,0.011444,Empty,0.000000,0.029460,0.021444,Empty,0.000000,0.029460,0.041444,Empty,0.000000,0.029460,0.101444,Empty,0.000000,0.029460
0.100000,31,Empty,0.000000,0.875000,0.062500,0.499383,0.001513,0.002227,0.002193,0.000038,0.002218,5,1.390374,Pedestrian,0,59.420970,1.390374,Pedestrian,1.040754,0.018531,1.423242,Cyclist,1.028490,0.019797,1.441244,Cyclist,1.027446,0.019494,1.500839,Cyclist,1.027669,0.019509
0.100000,32,Empty,0.000000,0.875000,0.062500,0.499373,0.001534,0.001627,0.002542,0.000038,0.002105,5,1.396045,Pedestrian,0,59.420970,1.396045,Pedestrian,1.034563,0.013536,1.422184,Cyclist,1.015628,0.013560,1.436689,Cyclist,1.013182,0.013541,1.496161,Cyclist,1.013508,0.013547
0.100000,33,Cyclist,0.000000,0.812500,0.062500,0.499618,0.002489,0.009628,0.003196,0.000148,0.003065,5,0.018194,Cyclist,1,59.420970,0.018194,Cyclist,1.102343,0.080102,0.028033,Cyclist,1.089771,0.075143,0.048051,Cyclist,1.090704,0.075883,0.108052,Cyclist,1.092016,0.075894
0.100000,34,Vehicle,0.000000,0.937500,0.062500,0.499732,0.001596,0.007457,0.003160,0.000135,0.002022,5,4.852257,Cyclist,0,59.420970,4.852257,Cyclist,1.090928,0.062038,4.862190,Cyclist,1.088310,0.060729,4.882182,Cyclist,1.092681,0.060619,4.942181,Cyclist,1.095000,0.060602
0.100000,35,Empty,0.000000,1.000000,0.000000,0.499384,0.000781,0.001763,0.001807,0.000056,0.001098,5,0.011347,Empty,1,59.420970,0.011347,Empty,0.000000,0.014671,0.021347,Empty,0.000000,0.014671,0.041347,Empty,0.000000,0.014671,0.101347,Empty,0.000000,0.014671
0.100000,36,Empty,0.000000,0.875000,0.062500,0.499371,0.001443,0.001702,0.002294,0.000034,0.002293,5,0.011423,Empty,1,59.420970,0.011423,Empty,1.016539,0.014161,0.021443,Empty,1.003555,0.014942,0.041432,Empty,1.003145,0.014425,0.101433,Empty,1.003524,0.014441
0.100000,37,Cyclist,0.000000,0.812500,0.093750,0.499643,0.002643,0.007245,0.004130,0.000159,0.002993,5,0.016282,Cyclist,1,59.420970,0.016282,Cyclist,1.111531,0.060278,0.026279,Cyclist,1.097499,0.060128,0.046280,Cyclist,1.099860,0.060176,0.106281,Cyclist,1.101644,0.060189
0.100000,38,Empty,0.000000,0.937500,0.062500,0.499389,0.001371,0.002106,0.002609,0.000044,0.002023,5,0.011316,Empty,1,59.420970,0.011316,Empty,0.993100,0.017519,0.021310,Empty,0.996599,0.017493,0.041310,Empty,0.996816,0.017370,0.101310,Empty,0.997277,0.017373
0.100000,39,Empty,0.000000,1.000000,0.000000,0.499382,0.000883,0.002258,0.002094,0.000055,0.001378,5,0.011291,Empty,1,59.420970,0.011291,Empty,0.000000,0.018784,0.021291,Empty,0.000000,0.018784,0.041291,Empty,0.000000,0.018784,0.101291,Empty,0.000000,0.018784
0.100000,40,Vehicle,0.000000,0.812500,0.062500,0.499661,0.002900,0.010491,0.007238,0.000173,0.003196,5,0.013303,Vehicle,1,59.420970,0.013303,Vehicle,1.095465,0.087289,0.023185,Vehicle,1.100467,0.085128,0.043180,Vehicle,1.104072,0.085019,0.103179,Vehicle,1.106130,0.084965
0.100000,41,Empty,0.000000,0.750000,0.083333,0.499361,0.002274,0.002306,0.002682,0.000044,0.002679,5,1.416489,Pedestrian,0,59.420970,1.416489,Pedestrian,1.034378,0.019183,1.454097,Cyclist,1.020653,0.019366,1.472728,Cyclist,1.020149,0.019455,1.532059,Cyclist,1.020686,0.019485
0.100000,42,Vehicle,0.000000,1.000000,0.000000,0.499739,0.001591,0.004773,0.004052,0.000126,0.001434,5,0.011685,Vehicle,1,59.420970,0.011685,Vehicle,0.000000,0.039710,0.021685,Vehicle,0.000000,0.039710,0.041685,Vehicle,0.000000,0.039710,0.101685,Vehicle,0.000000,0.039710
0.100000,43,Empty,0.000000,0.937500,0.062500,0.499388,0.001321,0.001918,0.001830,0.000047,0.001923,5,0.011367,Empty,1,59.420970,0.011367,Empty,1.032715,0.015954,0.021363,Empty,1.021932,0.016156,0.041360,Empty,1.021795,0.015944,0.101360,Empty,1.021987,0.015954
0.100000,44,Vehicle,0.000000,0.937500,0.062500,0.499722,0.001783,0.004241,0.005161,0.000110,0.002057,5,1.615853,Pedestrian,0,59.420970,1.615853,Pedestrian,1.101059,0.035282,1.622440,Cyclist,1.107312,0.035632,1.645287,Cyclist,1.109989,0.035739,1.706053,Cyclist,1.111677,0.035747
0.100000,45,Cyclist,0.000000,0.875000,0.062500,0.499619,0.002692,0.007654,0.008157,0.000162,0.003493,5,0.023792,Cyclist,1,59.420970,0.023792,Cyclist,1.094631,0.063682,0.033689,Cyclist,1.077718,0.062421,0.053688,Cyclist,1.078678,0.062353,0.113688,Cyclist,1.079766,0.062365
0.100000,46,Cyclist,0.000000,0.875000,0.062500,0.499579,0.003019,0.006828,0.003978,0.000145,0.003414,5,0.201373,Cyclist,1,59.420970,0.201373,Cyclist,1.068188,0.056809,0.211300,Cyclist,1.058127,0.054309,0.231301,Cyclist,1.059627,0.054390,0.291301,Cyclist,1.061111,0.054426
0.100000,47,Pedestrian,0.000000,0.812500,0.093750,0.499626,0.002546,0.008295,0.005610,0.000147,0.002923,5,0.017392,Pedestrian,1,59.420970,0.017392,Pedestrian,1.103105,0.069013,0.027293,Pedestrian,1.065113,0.066226,0.047297,Pedestrian,1.065839,0.066055,0.107298,Pedestrian,1.066905,0.066067
0.100000,48,Empty,0.000000,0.875000,0.062500,0.499444,0.005077,0.017405,0.016086,0.000280,0.005580,5,4.324118,Vehicle,0,59.420970,4.324118,Vehicle,1.136491,0.144806,4.334095,Vehicle,1.143680,0.144510,4.354097,Vehicle,1.144685,0.144514,4.414098,Vehicle,1.145260,0.144497
0.100000,49,Vehicle,0.000000,0.875000,0.062500,0.499655,0.002466,0.006250,0.006618,0.000133,0.002720,5,1.578050,Pedestrian,0,59.420970,1.578050,Pedestrian,1.109070,0.052001,1.580589,Cyclist,1.107532,0.050747,1.603618,Cyclist,1.109607,0.050834,1.665218,Cyclist,1.111149,0.050834
0.100000,50,Empty,0.000000,0.750000,0.083333,0.499374,0.002083,0.003209,0.002455,0.000046,0.002685,5,0.011556,Empty,1,59.420970,0.011556,Empty,1.035357,0.026701,0.021535,Empty,1.027513,0.026186,0.041531,Empty,1.027552,0.026132,0.101531,Empty,1.028106,0.026140
0.100000,51,Vehicle,0.000000,0.937500,0.062500,0.499767,0.001442,0.005821,0.006806,0.000113,0.001901,5,0.176356,Vehicle,1,59.420970,0.176356,Vehicle,1.063304,0.048431,0.186343,Vehicle,1.052430,0.048023,0.206342,Vehicle,1.054576,0.047984,0.266343,Vehicle,1.055940,0.048009
0.100000,52,Pedestrian,0.000000,0.812500,0.062500,0.499636,0.002194,0.008114,0.005266,0.000133,0.002858,5,0.014831,Pedestrian,1,59.420970,0.014831,Pedestrian,1.072360,0.067505,0.024795,Pedestrian,1.048157,0.067863,0.044798,Pedestrian,1.050068,0.067851,0.104799,Pedestrian,1.051475,0.067888
0.100000,53,Vehicle,0.000000,0.937500,0.062500,0.499752,0.001972,0.004773,0.002996,0.000152,0.002242,5,0.012685,Vehicle,1,59.420970,0.012685,Vehicle,1.069846,0.039714,0.022626,Vehicle,1.068350,0.038470,0.042628,Vehicle,1.072101,0.038530,0.102627,Vehicle,1.074535,0.038517
0.100000,54,Empty,0.000000,0.937500,0.062500,0.499376,0.001191,0.002055,0.002424,0.000052,0.001803,5,0.011390,Empty,1,59.420970,0.011390,Empty,1.029753,0.017098,0.021392,Empty,1.026350,0.017040,0.041388,Empty,1.026262,0.016956,0.101388,Empty,1.026587,0.016957
0.100000,55,Cyclist,0.000000,0.875000,0.125000,0.499697,0.002063,0.006671,0.003435,0.000142,0.002830,5,0.014730,Cyclist,1,59.420970,0.014730,Cyclist,1.136118,0.055503,0.024690,Cyclist,1.116091,0.054447,0.044687,Cyclist,1.116320,0.054359,0.104688,Cyclist,1.116961,0.054364
0.100000,56,Vehicle,0.000000,0.750000,0.083333,0.499566,0.002539,0.008013,0.003458,0.000141,0.003023,5,0.013598,Vehicle,1,59.420970,0.013598,Vehicle,1.115210,0.066665,0.023489,Vehicle,1.106925,0.063980,0.043484,Vehicle,1.110053,0.063743,0.103484,Vehicle,1.111956,0.063729
0.100000,57,Cyclist,0.000000,0.812500,0.093750,0.499606,0.002070,0.005908,0.004780,0.000144,0.002708,5,0.011694,Cyclist,1,59.420970,0.011694,Cyclist,1.135942,0.049156,0.021648,Cyclist,1.116087,0.046889,0.041643,Cyclist,1.116616,0.046655,0.101643,Cyclist,1.117397,0.046664
0.100000,58,Pedestrian,0.000000,0.625000,0.187500,0.499550,0.002941,0.005584,0.005023,0.000139,0.003402,5,0.011878,Pedestrian,1,59.420970,0.011878,Pedestrian,1.162415,0.046455,0.021854,Pedestrian,1.142598,0.045083,0.041857,Pedestrian,1.143577,0.045235,0.101857,Pedestrian,1.144441,0.045267
0.100000,59,Pedestrian,0.000000,0.750000,0.062500,0.499573,0.002417,0.009327,0.005979,0.000142,0.002637,10,1.149824,Pedestrian,1,41.145840,1.155273,Pedestrian,1.093213,0.077604,1.149824,Pedestrian,1.068638,0.075775,1.165235,Pedestrian,1.069146,0.076068,1.225564,Pedestrian,1.070374,0.076128
0.100000,60,Pedestrian,0.000000,0.875000,0.062500,0.499620,0.001772,0.004765,0.004261,0.000113,0.002514,5,0.012373,Pedestrian,1,59.420970,0.012373,Pedestrian,1.082348,0.039643,0.022274,Pedestrian,1.046182,0.035132,0.042295,Pedestrian,1.046103,0.036254,0.102295,Pedestrian,1.047040,0.036248
0.100000,61,Vehicle,0.000000,1.000000,0.000000,0.499723,0.001685,0.004034,0.003566,0.000066,0.001367,5,0.024813,Vehicle,1,59.420970,0.024813,Vehicle,0.000000,0.033564,0.034813,Vehicle,0.000000,0.033564,0.054813,Vehicle,0.000000,0.033564,0.114813,Vehicle,0.000000,0.033564
0.100000,62,Pedestrian,0.000000,1.000000,0.000000,0.499637,0.001117,0.003850,0.002379,0.000060,0.001277,5,0.011987,Pedestrian,1,59.420970,0.011987,Pedestrian,0.000000,0.032035,0.021987,Pedestrian,0.000000,0.032035,0.041987,Pedestrian,0.000000,0.032035,0.101987,Pedestrian,0.000000,0.032035
0.100000,63,Pedestrian,0.000000,0.875000,0.062500,0.499644,0.002118,0.007780,0.003626,0.000121,0.002612,5,0.014525,Pedestrian,1,59.420970,0.014525,Pedestrian,1.087202,0.064728,0.024476,Pedestrian,1.076283,0.063834,0.044480,Pedestrian,1.078280,0.063943,0.104481,Pedestrian,1.079783,0.063967
0.100000,64,Cyclist,0.000000,1.000000,0.000000,0.499669,0.001438,0.005588,0.003655,0.000099,0.001717,5,0.011535,Cyclist,1,59.420970,0.011535,Cyclist,0.000000,0.046492,0.021535,Cyclist,0.000000,0.046492,0.041535,Cyclist,0.000000,0.046492,0.101535,Cyclist,0.000000,0.046492
0.100000,65,Pedestrian,0.000000,0.812500,0.062500,0.499610,0.002044,0.006462,0.004035,0.000124,0.002879,5,0.012866,Pedestrian,1,59.420970,0.012866,Pedestrian,1.075931,0.053760,0.022689,Pedestrian,1.032124,0.047762,0.042742,Pedestrian,1.032673,0.049859,0.102742,Pedestrian,1.033928,0.049890
0.100000,66,Vehicle,0.000000,1.000000,0.000000,0.499768,0.001581,0.007480,0.004428,0.000131,0.001808,5,0.040005,Vehicle,1,59.420970,0.040005,Vehicle,0.000000,0.062230,0.050005,Vehicle,0.000000,0.062230,0.070005,Vehicle,0.000000,0.062230,0.130005,Vehicle,0.000000,0.062230
0.100000,67,Pedestrian,0.000000,0.812500,0.062500,0.499592,0.001926,0.007100,0.005184,0.000126,0.002701,5,0.012457,Pedestrian,1,59.420970,0.012457,Pedestrian,1.054363,0.059075,0.022375,Pedestrian,1.023474,0.057732,0.042376,Pedestrian,1.025186,0.057744,0.102377,Pedestrian,1.026814,0.057784
0.100000,68,Pedestrian,0.000000,0.937500,0.062500,0.499675,0.003066,0.004969,0.005017,0.000130,0.002736,5,0.012666,Pedestrian,1,59.420970,0.012666,Pedestrian,1.081855,0.041343,0.022641,Pedestrian,1.043530,0.041063,0.042647,Pedestrian,1.045051,0.041283,0.102648,Pedestrian,1.046481,0.041290
0.100000,69,Pedestrian,0.000000,0.875000,0.062500,0.499413,0.004540,0.014954,0.008670,0.000265,0.005425,5,2.428932,Vehicle,0,59.420970,2.428932,Vehicle,1.144665,0.124421,2.438890,Vehicle,1.144582,0.124479,2.458892,Vehicle,1.145211,0.124476,2.518892,Vehicle,1.145623,0.124473
0.100000,70,Pedestrian,0.000000,1.000000,0.000000,0.499694,0.001706,0.004108,0.004213,0.000084,0.001639,5,0.012028,Pedestrian,1,59.420970,0.012028,Pedestrian,0.000000,0.034178,0.022028,Pedestrian,0.000000,0.034178,0.042028,Pedestrian,0.000000,0.034178,0.102028,Pedestrian,0.000000,0.034178
0.100000,71,Pedestrian,0.000000,0.875000,0.062500,0.499594,0.001599,0.007010,0.006075,0.000135,0.002123,5,0.012996,Pedestrian,1,59.420970,0.012996,Pedestrian,1.048503,0.058325,0.022885,Pedestrian,1.016109,0.053947,0.042903,Pedestrian,1.015981,0.054737,0.102903,Pedestrian,1.017171,0.054756
0.100000,72,Cyclist,0.000000,0.812500,0.062500,0.499615,0.003443,0.009463,0.006991,0.000158,0.004231,5,0.013461,Cyclist,1,59.420970,0.013461,Cyclist,1.113731,0.078729,0.023223,Cyclist,1.103454,0.073960,0.043221,Cyclist,1.104765,0.073838,0.103221,Cyclist,1.105863,0.073859
0.100000,73,Pedestrian,0.000000,0.937500,0.062500,0.499631,0.001651,0.003348,0.003307,0.000090,0.002318,5,0.011897,Pedestrian,1,59.420970,0.011897,Pedestrian,1.089185,0.027855,0.021839,Pedestrian,1.061332,0.027019,0.041844,Pedestrian,1.061737,0.027063,0.101844,Pedestrian,1.063010,0.027064
0.100000,74,Vehicle,0.000000,0.875000,0.062500,0.499711,0.002695,0.015317,0.005514,0.000211,0.002891,5,0.019524,Vehicle,1,59.420970,0.019524,Vehicle,1.098061,0.127441,0.029400,Vehicle,1.098909,0.124981,0.049399,Vehicle,1.101346,0.125154,0.109399,Vehicle,1.103169,0.125155
0.200000,0,Cyclist,0.000000,0.875000,0.062500,0.499614,0.002048,0.008120,0.004571,0.000142,0.002509,10,1.257173,Cyclist,1,41.145840,1.299299,Pedestrian,1.153030,0.067555,1.257173,Cyclist,1.135023,0.067400,1.275627,Cyclist,1.135613,0.067464,1.335373,Cyclist,1.136539,0.067484
0.200000,1,Empty,0.000000,0.812500,0.062500,0.499378,0.001789,0.002275,0.003160,0.000055,0.002513,5,0.011497,Empty,1,59.420970,0.011497,Empty,1.012365,0.018931,0.021502,Empty,0.996394,0.019056,0.041489,Empty,0.996733,0.018622,0.101489,Empty,0.997241,0.018636
0.200000,2,Empty,0.000000,0.750000,0.125000,0.499357,0.002072,0.002715,0.003047,0.000040,0.002539,5,1.405319,Pedestrian,0,59.420970,1.405319,Pedestrian,1.060759,0.022587,1.424571,Cyclist,1.051682,0.022168,1.441925,Cyclist,1.051698,0.022098,1.501378,Cyclist,1.052230,0.022099
0.200000,3,Empty,0.000000,0.812500,0.062500,0.499382,0.001658,0.002347,0.002395,0.000060,0.002408,5,1.390400,Pedestrian,0,59.420970,1.390400,Pedestrian,1.042496,0.019530,1.415806,Cyclist,1.032058,0.019208,1.431091,Cyclist,1.030626,0.019140,1.490674,Cyclist,1.030926,0.019146
0.200000,4,Empty,0.000000,0.875000,0.062500,0.499375,0.001585,0.002550,0.002466,0.000043,0.002307,5,0.011363,Empty,1,59.420970,0.011363,Empty,0.999197,0.021215,0.021365,Empty,0.992974,0.021114,0.041357,Empty,0.992753,0.021010,0.101357,Empty,0.993218,0.021013
0.200000,5,Empty,0.000000,0.687500,0.078125,0.499369,0.002515,0.003436,0.002999,0.000036,0.002852,5,0.011512,Empty,1,59.420970,0.011512,Empty,1.030106,0.028585,0.021520,Empty,1.019147,0.028394,0.041508,Empty,1.019334,0.028206,0.101508,Empty,1.019940,0.028215
0.200000,6,Cyclist,0.000000,0.937500,0.062500,0.499602,0.002142,0.009543,0.004791,0.000131,0.002694,5,0.012949,Cyclist,1,59.420970,0.012949,Cyclist,1.099119,0.079396,0.022902,Cyclist,1.089731,0.078146,0.042904,Cyclist,1.090213,0.078253,0.102904,Cyclist,1.091282,0.078259
0.200000,7,Pedestrian,0.000000,0.875000,0.062500,0.499704,0.002980,0.007305,0.005401,0.000155,0.003096,5,0.013966,Pedestrian,1,59.420970,0.013966,Pedestrian,1.081704,0.060777,0.023929,Pedestrian,1.053756,0.060552,0.043929,Pedestrian,1.055648,0.060531,0.103930,Pedestrian,1.057278,0.060539
0.200000,8,Pedestrian,0.000000,0.750000,0.125000,0.499312,0.004024,0.012059,0.009762,0.000186,0.004482,5,4.345980,Empty,0,59.420970,4.345980,Empty,1.138324,0.100335,4.355963,Empty,1.139083,0.099998,4.375964,Empty,1.139524,0.100050,4.435964,Empty,1.139904,0.100049
