dropout_p,sequence_id,true_class,obs_ratio,gap_length,r_uncertainty,v_uncertainty,kin_residual,acc_residual,energy_residual,snr_quality,est_range,est_velocity,oracle_lambda,oracle_J,oracle_l_perc,oracle_l_recon,oracle_l_phys,oracle_kin_res,oracle_r_mae,oracle_v_mae,oracle_pred,oracle_correct,fixed_lambda,fixed_J,fixed_l_perc,fixed_l_recon,fixed_l_phys,fixed_kin_res,fixed_r_mae,fixed_v_mae,fixed_pred,fixed_correct,J_lambda_0.0000,J_lambda_0.0025,J_lambda_0.0050,J_lambda_0.0100,J_lambda_0.0200,J_lambda_0.0500
0.100000,10,Cyclist,0.812500,0.062500,0.000274,0.006751,0.018252,0.103761,0.010614,0.000000,0.499296,0.005770,0.000000,1.572944,1.286090,1.121992,0.025423,0.151856,0.012281,0.860719,Pedestrian,0,0.010000,1.572957,1.286103,1.121992,0.025422,0.151853,0.012281,0.860719,Pedestrian,0,1.572944,1.572945,1.572948,1.572957,1.572973,1.573014
0.100000,11,Empty,0.937500,0.062500,0.000305,0.006547,0.022671,0.100934,0.016160,0.000000,0.499312,0.006008,0.050000,0.321669,0.026031,1.135862,0.046692,0.188622,0.011151,0.806034,Empty,1,0.010000,0.321681,0.026031,1.135908,0.046694,0.188621,0.011151,0.806035,Empty,1,0.321684,0.321684,0.321683,0.321681,0.321679,0.321669
0.100000,12,Vehicle,1.000000,0.000000,0.000100,0.001815,0.005380,0.019272,0.004277,0.000000,0.499780,0.002551,0.000000,0.012165,0.011537,0.000000,0.002508,0.044765,0.031748,0.060012,Vehicle,1,0.010000,0.012165,0.011537,0.000000,0.002508,0.044765,0.031748,0.060012,Vehicle,1,0.012165,0.012165,0.012165,0.012165,0.012165,0.012165
0.100000,13,Pedestrian,0.875000,0.062500,0.000120,0.002112,0.005307,0.028081,0.003707,0.000000,0.499603,0.001553,0.005000,1.393908,1.127679,1.061690,0.003226,0.044151,0.028386,0.028775,Pedestrian,1,0.010000,1.393916,1.127688,1.061689,0.003225,0.044148,0.028385,0.028775,Pedestrian,1,1.393909,1.393909,1.393908,1.393916,1.393919,1.393938
0.100000,14,Vehicle,0.875000,0.062500,0.000152,0.002737,0.008979,0.032311,0.004962,0.000000,0.499740,0.002497,0.050000,0.274552,0.002651,1.080173,0.007433,0.074696,0.050576,0.076146,Vehicle,1,0.010000,0.274571,0.002651,1.080246,0.007434,0.074702,0.050576,0.076146,Vehicle,1,0.274575,0.274575,0.274574,0.274571,0.274566,0.274552
0.100000,15,Empty,0.812500,0.062500,0.000307,0.004282,0.019676,0.075219,0.014900,0.000000,0.499246,0.004410,0.050000,0.302272,0.003486,1.168722,0.026422,0.163687,0.009987,0.647953,Empty,1,0.010000,0.302272,0.003486,1.168720,0.026424,0.163699,0.009986,0.647954,Empty,1,0.302272,0.302272,0.302272,0.302272,0.302272,0.302272
0.100000,16,Vehicle,0.875000,0.062500,0.000166,0.002721,0.010583,0.038279,0.003726,0.000000,0.499718,0.002492,0.050000,0.280558,0.002452,1.104697,0.007728,0.088035,0.025339,0.066658,Vehicle,1,0.010000,0.280570,0.002452,1.104741,0.007730,0.088050,0.025339,0.066658,Vehicle,1,0.280573,0.280571,0.280572,0.280570,0.280567,0.280558
0.100000,17,Vehicle,0.937500,0.062500,0.000156,0.002568,0.007466,0.033579,0.007059,0.000000,0.499677,0.002913,0.050000,0.281295,0.001337,1.114822,0.005008,0.062117,0.052080,0.072624,Vehicle,1,0.010000,0.281299,0.001337,1.114839,0.005008,0.062117,0.052080,0.072624,Vehicle,1,0.281300,0.281300,0.281300,0.281299,0.281298,0.281295
0.100000,18,Empty,0.875000,0.062500,0.000045,0.002067,0.002854,0.027284,0.002953,0.000000,0.499381,0.001491,0.050000,0.249460,0.000999,0.992043,0.001800,0.023744,0.020960,0.023167,Empty,1,0.010000,0.249461,0.000999,0.992046,0.001800,0.023744,0.020960,0.023167,Empty,1,0.249460,0.249460,0.249461,0.249461,0.249460,0.249460
0.100000,19,Cyclist,0.875000,0.062500,0.000090,0.002791,0.004353,0.042305,0.002831,0.000000,0.499579,0.002363,0.050000,0.278562,0.001497,1.104928,0.003330,0.036215,0.021925,0.063069,Cyclist,1,0.010000,0.278565,0.001497,1.104941,0.003330,0.036215,0.021925,0.063069,Cyclist,1,0.278566,0.278566,0.278565,0.278565,0.278564,0.278562
0.100000,20,Vehicle,0.875000,0.062500,0.000134,0.002514,0.007857,0.039860,0.004992,0.000000,0.499733,0.001984,0.050000,0.286825,0.014592,1.083335,0.005599,0.065367,0.027443,0.066476,Vehicle,1,0.010000,0.286834,0.014592,1.083367,0.005600,0.065371,0.027443,0.066476,Vehicle,1,0.286835,0.286835,0.286835,0.286834,0.286832,0.286825
0.100000,21,Empty,0.937500,0.062500,0.000049,0.001821,0.002113,0.022338,0.002368,0.000000,0.499382,0.001147,0.050000,0.250150,0.000996,0.995182,0.001434,0.017579,0.018277,0.034354,Empty,1,0.010000,0.250150,0.000996,0.995184,0.001434,0.017583,0.018277,0.034354,Empty,1,0.250150,0.250150,0.250150,0.250150,0.250150,0.250150
0.100000,22,Cyclist,0.875000,0.062500,0.000146,0.002395,0.008618,0.035593,0.005868,0.000000,0.499663,0.001777,0.050000,0.663332,0.385909,1.104806,0.004890,0.071694,0.028512,0.067563,Cyclist,1,0.010000,0.663338,0.385909,1.104828,0.004891,0.071701,0.028512,0.067563,Cyclist,1,0.663338,0.663339,0.663339,0.663338,0.663336,0.663332
0.100000,23,Empty,0.937500,0.062500,0.000048,0.001768,0.003280,0.020379,0.002502,0.000000,0.499373,0.001143,0.050000,0.252699,0.001007,1.005088,0.001681,0.027289,0.015837,0.020855,Empty,1,0.010000,0.252701,0.001007,1.005096,0.001681,0.027293,0.015837,0.020855,Empty,1,0.252701,0.252701,0.252701,0.252701,0.252700,0.252699
0.100000,24,Empty,0.937500,0.062500,0.000046,0.001857,0.003434,0.018548,0.002673,0.000000,0.499386,0.001191,0.020000,0.251299,0.001023,0.999525,0.001578,0.028568,0.016847,0.024226,Empty,1,0.010000,0.251300,0.001023,0.999532,0.001578,0.028568,0.016847,0.024226,Empty,1,0.251300,0.251300,0.251299,0.251300,0.251299,0.251299
0.100000,25,Cyclist,0.875000,0.062500,0.000187,0.004856,0.010172,0.060303,0.017912,0.000000,0.499443,0.004347,0.050000,1.601871,1.300307,1.196387,0.009868,0.084620,0.012852,0.583369,Pedestrian,0,0.010000,1.601920,1.300354,1.196396,0.009869,0.084626,0.012852,0.583369,Pedestrian,0,1.601943,1.601938,1.601929,1.601920,1.601905,1.601871
0.100000,26,Pedestrian,0.875000,0.062500,0.000114,0.002321,0.006515,0.034120,0.003911,0.000000,0.499634,0.001855,0.005000,1.418685,1.152054,1.062395,0.004128,0.054203,0.034568,0.031476,Pedestrian,1,0.010000,1.418691,1.152060,1.062396,0.004128,0.054203,0.034568,0.031476,Pedestrian,1,1.418689,1.418689,1.418685,1.418691,1.418699,1.418706
0.100000,27,Cyclist,0.812500,0.093750,0.000120,0.002283,0.004930,0.027869,0.003287,0.000000,0.499610,0.001846,0.050000,0.268610,0.001754,1.064812,0.002610,0.041015,0.014433,0.063893,Cyclist,1,0.010000,0.268614,0.001754,1.064828,0.002610,0.041019,0.014433,0.063893,Cyclist,1,0.268615,0.268614,0.268615,0.268614,0.268613,0.268610
0.100000,28,Cyclist,1.000000,0.000000,0.000128,0.003757,0.007848,0.038971,0.005043,0.000000,0.499718,0.002887,0.000000,0.087766,0.085943,0.000000,0.007294,0.065297,0.049471,0.066610,Cyclist,1,0.010000,0.087766,0.085943,0.000000,0.007294,0.065297,0.049471,0.066610,Cyclist,1,0.087766,0.087766,0.087766,0.087766,0.087766,0.087766
0.100000,29,Vehicle,0.750000,0.062500,0.000193,0.003065,0.011149,0.051243,0.004506,0.000000,0.499653,0.002467,0.050000,0.542465,0.265445,1.099617,0.008463,0.092733,0.034738,0.056588,Vehicle,1,0.010000,0.542478,0.265445,1.099667,0.008465,0.092748,0.034738,0.056588,Vehicle,1,0.542481,0.542480,0.542480,0.542478,0.542475,0.542465
0.100000,30,Empty,1.000000,0.000000,0.000048,0.001590,0.003541,0.018541,0.002473,0.000000,0.499364,0.001287,0.000000,0.001444,0.001037,0.000000,0.001626,0.029460,0.028020,0.021937,Empty,1,0.010000,0.001444,0.001037,0.000000,0.001626,0.029460,0.028020,0.021937,Empty,1,0.001444,0.001444,0.001444,0.001444,0.001444,0.001444
0.100000,31,Empty,0.875000,0.062500,0.000037,0.002214,0.002345,0.027397,0.002179,0.000000,0.499385,0.001512,0.050000,1.657733,1.400410,1.027661,0.001634,0.019509,0.020582,0.025597,Cyclist,0,0.010000,1.657750,1.400425,1.027667,0.001634,0.019509,0.020582,0.025597,Cyclist,0,1.657756,1.657749,1.657751,1.657750,1.657744,1.657733
0.100000,32,Empty,0.875000,0.062500,0.000037,0.002094,0.001628,0.024327,0.002581,0.000000,0.499374,0.001530,0.050000,1.649519,1.395787,1.013505,0.001423,0.013547,0.020584,0.028102,Cyclist,0,0.010000,1.649530,1.395798,1.013506,0.001423,0.013547,0.020584,0.028102,Cyclist,0,1.649538,1.649533,1.649529,1.649530,1.649533,1.649519
0.100000,33,Cyclist,0.812500,0.062500,0.000140,0.003015,0.009122,0.036440,0.003130,0.000000,0.499623,0.002456,0.050000,0.281047,0.006647,1.091981,0.005616,0.075874,0.016744,0.045413,Cyclist,1,0.010000,0.281054,0.006647,1.092011,0.005618,0.075894,0.016744,0.045413,Cyclist,1,0.281056,0.281055,0.281055,0.281054,0.281052,0.281047
0.100000,34,Vehicle,0.937500,0.062500,0.000130,0.001997,0.007284,0.030090,0.003160,0.000000,0.499734,0.001588,0.050000,5.115911,4.840913,1.094921,0.005072,0.060596,0.032706,0.070524,Cyclist,0,0.010000,5.115927,4.840913,1.094985,0.005072,0.060600,0.032706,0.070524,Cyclist,0,5.115931,5.115930,5.115929,5.115927,5.115922,5.115911
0.100000,35,Empty,1.000000,0.000000,0.000056,0.001098,0.001763,0.010965,0.001807,0.000000,0.499384,0.000781,0.000000,0.001347,0.001098,0.000000,0.000998,0.014671,0.035297,0.020643,Empty,1,0.010000,0.001347,0.001098,0.000000,0.000998,0.014671,0.035297,0.020643,Empty,1,0.001347,0.001347,0.001347,0.001347,0.001347,0.001347
0.100000,36,Empty,0.875000,0.062500,0.000031,0.002249,0.001736,0.026000,0.002304,0.000000,0.499374,0.001423,0.050000,0.252311,0.001029,1.003512,0.001616,0.014441,0.024710,0.022914,Empty,1,0.010000,0.252314,0.001029,1.003525,0.001616,0.014441,0.024710,0.022915,Empty,1,0.252314,0.252313,0.252314,0.252314,0.252313,0.252311
0.100000,37,Cyclist,0.812500,0.093750,0.000158,0.002937,0.007234,0.027759,0.003799,0.000000,0.499643,0.002605,0.050000,0.281687,0.005250,1.101626,0.004124,0.060185,0.136659,0.200605,Cyclist,1,0.010000,0.281691,0.005250,1.101640,0.004124,0.060185,0.136659,0.200605,Cyclist,1,0.281692,0.281691,0.281691,0.281691,0.281690,0.281687
0.100000,38,Empty,0.937500,0.062500,0.000043,0.001978,0.002088,0.017617,0.002609,0.000000,0.499388,0.001355,0.010000,0.250628,0.000953,0.997271,0.001431,0.017373,0.023337,0.020675,Empty,1,0.010000,0.250628,0.000953,0.997271,0.001431,0.017373,0.023337,0.020675,Empty,1,0.250630,0.250630,0.250630,0.250628,0.250630,0.250630
0.100000,39,Empty,1.000000,0.000000,0.000055,0.001378,0.002258,0.014089,0.002094,0.000000,0.499382,0.000883,0.000000,0.001291,0.000983,0.000000,0.001234,0.018784,0.027694,0.021039,Empty,1,0.010000,0.001291,0.000983,0.000000,0.001234,0.018784,0.027694,0.021039,Empty,1,0.001291,0.001291,0.001291,0.001291,0.001291,0.001291
0.100000,40,Vehicle,0.812500,0.062500,0.000167,0.003068,0.010212,0.043691,0.007203,0.000000,0.499664,0.002835,0.050000,0.279695,0.001200,1.106066,0.007913,0.084948,0.066887,0.058311,Vehicle,1,0.010000,0.279708,0.001200,1.106117,0.007915,0.084961,0.066887,0.058311,Vehicle,1,0.279711,0.279711,0.279710,0.279708,0.279705,0.279695
0.100000,41,Empty,0.750000,0.083333,0.000041,0.002608,0.002342,0.037383,0.002684,0.000000,0.499367,0.002228,0.050000,1.687211,1.431546,1.020674,0.001982,0.019484,0.018228,0.029911,Cyclist,0,0.010000,1.687231,1.431565,1.020684,0.001982,0.019485,0.018228,0.029911,Cyclist,0,1.687230,1.687231,1.687223,1.687231,1.687220,1.687211
0.100000,42,Vehicle,1.000000,0.000000,0.000126,0.001434,0.004773,0.018830,0.004052,0.000000,0.499739,0.001591,0.000000,0.001685,0.001068,0.000000,0.002467,0.039710,0.024535,0.085418,Vehicle,1,0.010000,0.001685,0.001068,0.000000,0.002467,0.039710,0.024535,0.085418,Vehicle,1,0.001685,0.001685,0.001685,0.001685,0.001685,0.001685
0.100000,43,Empty,0.937500,0.062500,0.000046,0.001874,0.001918,0.023670,0.001830,0.000000,0.499389,0.001303,0.050000,0.256855,0.001000,1.021981,0.001442,0.015954,0.014922,0.022643,Empty,1,0.010000,0.256857,0.001000,1.021988,0.001442,0.015954,0.014922,0.022643,Empty,1,0.256857,0.256857,0.256857,0.256857,0.256857,0.256855
0.100000,44,Vehicle,0.937500,0.062500,0.000113,0.002094,0.004296,0.027712,0.005219,0.000000,0.499721,0.001798,0.050000,1.883876,1.605243,1.111632,0.002901,0.035747,0.039554,0.070700,Cyclist,0,0.010000,1.883952,1.605310,1.111668,0.002901,0.035747,0.039554,0.070700,Cyclist,0,1.883972,1.883980,1.883969,1.883952,1.883937,1.883876
0.100000,45,Cyclist,0.875000,0.062500,0.000159,0.003345,0.007496,0.063422,0.007733,0.000000,0.499621,0.002614,0.050000,0.283626,0.011969,1.079752,0.006875,0.062354,0.039944,0.057933,Cyclist,1,0.010000,0.283629,0.011969,1.079762,0.006875,0.062362,0.039944,0.057932,Cyclist,1,0.283630,0.283630,0.283630,0.283629,0.283628,0.283626
0.100000,46,Cyclist,0.875000,0.062500,0.000141,0.003354,0.006542,0.042660,0.003926,0.000000,0.499582,0.002990,0.050000,0.456577,0.190171,1.061103,0.004521,0.054419,0.070923,0.063226,Cyclist,1,0.010000,0.456579,0.190171,1.061110,0.004521,0.054423,0.070923,0.063226,Cyclist,1,0.456579,0.456578,0.456579,0.456579,0.456578,0.456577
0.100000,47,Pedestrian,0.812500,0.093750,0.000140,0.002812,0.007941,0.035456,0.005613,0.000000,0.499630,0.002477,0.002500,0.274024,0.006105,1.066904,0.004770,0.066067,0.024472,0.031286,Pedestrian,1,0.010000,0.274024,0.006105,1.066905,0.004770,0.066067,0.024472,0.031286,Pedestrian,1,0.274024,0.274024,0.274024,0.274024,0.274024,0.274025
0.100000,48,Empty,0.875000,0.062500,0.000281,0.005568,0.017367,0.091478,0.016203,0.000000,0.499442,0.005062,0.050000,4.600400,4.308536,1.145214,0.022244,0.144479,0.007804,0.644806,Vehicle,0,0.010000,4.600410,4.308536,1.145252,0.022247,0.144492,0.007804,0.644803,Vehicle,0,4.600412,4.600412,4.600411,4.600410,4.600408,4.600400
0.100000,49,Vehicle,0.875000,0.062500,0.000130,0.002710,0.006110,0.032718,0.006667,0.000000,0.499656,0.002462,0.050000,1.842892,1.564215,1.111102,0.003608,0.050827,0.053674,0.062737,Cyclist,0,0.010000,1.842992,1.564305,1.111140,0.003608,0.050831,0.053674,0.062737,Cyclist,0,1.843005,1.843008,1.843002,1.842992,1.842967,1.842892
0.100000,50,Empty,0.750000,0.083333,0.000044,0.002590,0.003142,0.035424,0.002498,0.000000,0.499376,0.002019,0.050000,0.258557,0.000999,1.028101,0.002130,0.026139,0.020305,0.037703,Empty,1,0.010000,0.258558,0.000999,1.028105,0.002130,0.026140,0.020304,0.037703,Empty,1,0.258558,0.258558,0.258558,0.258558,0.258557,0.258557
0.100000,51,Vehicle,0.937500,0.062500,0.000112,0.001896,0.005770,0.023368,0.006806,0.000000,0.499767,0.001440,0.050000,0.430320,0.165623,1.055908,0.002880,0.048005,0.036402,0.073721,Vehicle,1,0.010000,0.430327,0.165623,1.055936,0.002881,0.048009,0.036402,0.073721,Vehicle,1,0.430328,0.430327,0.430327,0.430327,0.430325,0.430320
0.100000,52,Pedestrian,0.812500,0.062500,0.000133,0.002692,0.008160,0.042281,0.005004,0.000000,0.499637,0.002105,0.050000,0.267660,0.003481,1.051444,0.005272,0.067871,0.031877,0.038044,Pedestrian,1,0.010000,0.267666,0.003481,1.051467,0.005273,0.067885,0.031877,0.038044,Pedestrian,1,0.267668,0.267668,0.267667,0.267666,0.267665,0.267660
0.100000,53,Vehicle,0.937500,0.062500,0.000148,0.002204,0.004629,0.022941,0.002996,0.000000,0.499753,0.001958,0.050000,0.271246,0.001742,1.074476,0.003540,0.038509,0.024319,0.082069,Vehicle,1,0.010000,0.271258,0.001742,1.074523,0.003541,0.038513,0.024319,0.082069,Vehicle,1,0.271261,0.271259,0.271259,0.271258,0.271254,0.271246
0.100000,54,Empty,0.937500,0.062500,0.000051,0.001756,0.002038,0.020515,0.002410,0.000000,0.499378,0.001175,0.050000,0.258031,0.001027,1.026572,0.001442,0.016957,0.027699,0.020683,Empty,1,0.010000,0.258034,0.001027,1.026586,0.001442,0.016957,0.027699,0.020683,Empty,1,0.258035,0.258036,0.258036,0.258034,0.258033,0.258031
0.100000,55,Cyclist,0.875000,0.125000,0.000139,0.002767,0.006534,0.021044,0.003435,0.000000,0.499699,0.002035,0.050000,0.283927,0.003795,1.116959,0.003568,0.054356,0.046003,0.050321,Cyclist,1,0.010000,0.283928,0.003795,1.116961,0.003569,0.054364,0.046003,0.050321,Cyclist,1,0.283928,0.283928,0.283928,0.283928,0.283928,0.283927
0.100000,56,Vehicle,0.750000,0.083333,0.000137,0.002874,0.007660,0.046441,0.003330,0.000000,0.499569,0.002434,0.050000,0.281460,0.002015,1.111905,0.005877,0.063713,0.269861,0.434499,Vehicle,1,0.010000,0.281471,0.002015,1.111946,0.005879,0.063729,0.269861,0.434500,Vehicle,1,0.281473,0.281473,0.281472,0.281471,0.281468,0.281460
0.100000,57,Cyclist,0.812500,0.093750,0.000137,0.002623,0.005609,0.038297,0.004805,0.000000,0.499610,0.002023,0.050000,0.280991,0.000823,1.117394,0.003281,0.046664,0.022543,0.073098,Cyclist,1,0.010000,0.280993,0.000823,1.117398,0.003281,0.046664,0.022543,0.073098,Cyclist,1,0.280992,0.280993,0.280993,0.280993,0.280992,0.280991
0.100000,58,Pedestrian,0.625000,0.187500,0.000140,0.003314,0.005441,0.025840,0.004931,0.000000,0.499550,0.002875,0.050000,0.287964,0.001143,1.144427,0.002857,0.045255,0.011180,0.039309,Pedestrian,1,0.010000,0.287967,0.001143,1.144439,0.002858,0.045266,0.011180,0.039309,Pedestrian,1,0.287968,0.287967,0.287968,0.287967,0.287966,0.287964
0.100000,59,Pedestrian,0.750000,0.062500,0.000138,0.002506,0.009150,0.040307,0.005663,0.000000,0.499576,0.002340,0.010000,1.393155,1.123978,1.070367,0.006340,0.076128,0.030824,0.025476,Pedestrian,1,0.010000,1.393155,1.123978,1.070367,0.006340,0.076128,0.030824,0.025476,Pedestrian,1,1.393157,1.393157,1.393160,1.393155,1.393165,1.393175
0.100000,60,Pedestrian,0.875000,0.062500,0.000104,0.002486,0.004357,0.038016,0.004021,0.000000,0.499624,0.001760,0.050000,0.264051,0.001556,1.047025,0.002955,0.036245,0.020387,0.029419,Pedestrian,1,0.010000,0.264054,0.001556,1.047038,0.002955,0.036249,0.020387,0.029419,Pedestrian,1,0.264055,0.264054,0.264055,0.264054,0.264053,0.264051
0.100000,61,Vehicle,1.000000,0.000000,0.000066,0.001367,0.004034,0.016898,0.003566,0.000000,0.499723,0.001685,0.000000,0.014813,0.014366,0.000000,0.001790,0.033564,0.022560,0.067495,Vehicle,1,0.010000,0.014813,0.014366,0.000000,0.001790,0.033564,0.022560,0.067495,Vehicle,1,0.014813,0.014813,0.014813,0.014813,0.014813,0.014813
0.100000,62,Pedestrian,1.000000,0.000000,0.000060,0.001277,0.003850,0.020439,0.002379,0.000000,0.499637,0.001117,0.000000,0.001987,0.001498,0.000000,0.001955,0.032035,0.021431,0.021373,Pedestrian,1,0.010000,0.001987,0.001498,0.000000,0.001955,0.032035,0.021431,0.021373,Pedestrian,1,0.001987,0.001987,0.001987,0.001987,0.001987,0.001987
0.100000,63,Pedestrian,0.875000,0.062500,0.000118,0.002539,0.007688,0.037613,0.003495,0.000000,0.499645,0.002081,0.050000,0.274418,0.003261,1.079752,0.004876,0.063954,0.022339,0.026103,Pedestrian,1,0.010000,0.274425,0.003261,1.079777,0.004878,0.063965,0.022339,0.026104,Pedestrian,1,0.274426,0.274426,0.274426,0.274425,0.274423,0.274418
0.100000,64,Cyclist,1.000000,0.000000,0.000099,0.001717,0.005588,0.019589,0.003655,0.000000,0.499669,0.001438,0.000000,0.001535,0.000845,0.000000,0.002760,0.046492,0.028512,0.052421,Cyclist,1,0.010000,0.001535,0.000845,0.000000,0.002760,0.046492,0.028512,0.052421,Cyclist,1,0.001535,0.001535,0.001535,0.001535,0.001535,0.001535
0.100000,65,Pedestrian,0.812500,0.062500,0.000115,0.002826,0.005996,0.043516,0.003670,0.000000,0.499614,0.002017,0.050000,0.261220,0.001597,1.033912,0.004579,0.049871,0.027020,0.027066,Pedestrian,1,0.010000,0.261223,0.001597,1.033923,0.004581,0.049886,0.027020,0.027067,Pedestrian,1,0.261224,0.261223,0.261223,0.261223,0.261222,0.261220
0.100000,66,Vehicle,1.000000,0.000000,0.000131,0.001808,0.007480,0.026764,0.004428,0.000000,0.499768,0.001581,0.000000,0.030005,0.028817,0.000000,0.004750,0.062230,0.040799,0.061426,Vehicle,1,0.010000,0.030005,0.028817,0.000000,0.004750,0.062230,0.040799,0.061426,Vehicle,1,0.030005,0.030005,0.030005,0.030005,0.030005,0.030005
0.100000,67,Pedestrian,0.812500,0.062500,0.000123,0.002550,0.006945,0.045288,0.004989,0.000000,0.499594,0.001845,0.050000,0.259072,0.001239,1.026784,0.004552,0.057765,0.029591,0.024868,Pedestrian,1,0.010000,0.259079,0.001239,1.026808,0.004553,0.057776,0.029591,0.024868,Pedestrian,1,0.259081,0.259080,0.259080,0.259079,0.259078,0.259072
0.100000,68,Pedestrian,0.937500,0.062500,0.000130,0.002670,0.004963,0.033141,0.004844,0.000000,0.499675,0.003044,0.050000,0.264266,0.001884,1.046473,0.003056,0.041286,0.045732,0.028450,Pedestrian,1,0.010000,0.264267,0.001884,1.046477,0.003057,0.041290,0.045732,0.028450,Pedestrian,1,0.264268,0.264268,0.264268,0.264267,0.264267,0.264266
0.100000,69,Pedestrian,0.875000,0.062500,0.000265,0.005386,0.014961,0.104403,0.008598,0.000000,0.499412,0.004510,0.050000,2.705292,2.413503,1.145599,0.021557,0.124473,0.009758,0.893260,Vehicle,0,0.010000,2.705297,2.413503,1.145618,0.021558,0.124473,0.009758,0.893258,Vehicle,0,2.705298,2.705298,2.705298,2.705297,2.705295,2.705292
0.100000,70,Pedestrian,1.000000,0.000000,0.000084,0.001639,0.004108,0.018061,0.004213,0.000000,0.499694,0.001706,0.000000,0.002028,0.001481,0.000000,0.002186,0.034178,0.016151,0.037386,Pedestrian,1,0.010000,0.002028,0.001481,0.000000,0.002186,0.034178,0.016151,0.037386,Pedestrian,1,0.002028,0.002028,0.002028,0.002028,0.002028,0.002028
